round,acc,loss,Fw_norm
179,59.88,178.41012901067734,4.125889301300049
180,60.62,169.7955374121666,4.1191086769104
181,61.43,171.32001626491547,3.6740610599517822
182,60.66,175.28946536779404,3.6804792881011963
183,60.52,175.76522248983383,4.130111217498779
184,59.62,174.42423897981644,4.0306620597839355
185,60.89,167.16323065757751,4.028304576873779
186,60.38,172.26732057332993,3.604862928390503
187,61.06,172.01945906877518,3.6910176277160645
188,61.54,169.32386964559555,3.8539655208587646
189,61.15,170.13790380954742,3.510603666305542
190,61.83,167.1246793270111,3.7588980197906494
191,61.83,168.23415195941925,3.7054378986358643
192,61.63,169.55979144573212,3.611180305480957
193,61.33,164.44905656576157,4.010294437408447
194,60.46,170.08864670991898,3.3182289600372314
195,61.54,169.51346105337143,3.931896924972534
196,60.54,172.5907626748085,3.7401251792907715
197,60.77,170.68081784248352,4.041653633117676
198,61.22,170.8771658539772,3.7531590461730957
199,61.54,171.82604068517685,3.8010027408599854
200,61.82,169.27667999267578,3.9623591899871826
201,62.1,168.96339017152786,3.692861795425415
202,61.25,169.6074270606041,3.6234073638916016
203,61.98,164.12670475244522,3.851616859436035
204,61.64,173.29829823970795,3.395616292953491
205,62.02,169.0533459186554,4.130663871765137
206,62.13,166.08245265483856,3.7602713108062744
207,61.6,169.9763160943985,3.7565038204193115
208,62.48,164.74355620145798,3.9535775184631348
209,61.71,166.53927528858185,3.559741258621216
210,62.66,162.7090980410576,3.512425184249878
211,61.91,166.87934052944183,3.4259753227233887
212,62.44,167.21128410100937,3.685802698135376
213,62.62,166.29642283916473,3.9497644901275635
214,61.0,173.6881920695305,3.8605597019195557
215,61.95,169.4618638753891,4.332127094268799
216,62.85,166.3803841471672,3.972123384475708
217,63.39,161.18376511335373,3.6003518104553223
218,62.3,172.72014087438583,3.664334774017334
219,62.69,169.50527012348175,4.439718723297119
220,63.39,164.7822926044464,4.058875560760498
221,62.55,171.06548875570297,3.783460855484009
222,63.08,164.04961037635803,4.337027072906494
223,63.4,163.35441809892654,3.588078260421753
224,63.38,161.85657155513763,3.77173113822937
225,62.41,170.92477703094482,3.4851632118225098
226,63.26,167.76645129919052,4.255642414093018
227,62.64,169.75718539953232,4.027632713317871
228,62.93,160.52491974830627,3.9225735664367676
229,61.96,171.3412976861,3.493595600128174
230,63.77,164.1298987865448,4.506049633026123
231,63.08,172.29974949359894,3.7797183990478516
232,63.86,164.36740469932556,4.376804351806641
233,63.98,162.21332967281342,3.8486151695251465
234,62.86,174.030531167984,3.777819871902466
235,63.43,169.6246938109398,4.506267070770264
236,63.46,169.50503170490265,4.080272197723389
237,63.27,173.910291492939,4.0341291427612305
238,63.65,170.9412523508072,4.268333911895752
239,62.78,173.63625544309616,4.21619987487793
240,62.78,172.0145701766014,4.0460381507873535
241,62.39,177.29515355825424,4.008262634277344
242,63.48,165.78871297836304,4.535401344299316
243,63.7,172.87218487262726,3.7885777950286865
244,63.12,173.84542936086655,4.093515872955322
245,63.16,173.5185465812683,4.45313835144043
246,65.27,159.8197030723095,4.184691905975342
247,64.61,159.58554023504257,3.5296385288238525
248,63.51,168.51683115959167,3.263686418533325
249,63.39,168.06640416383743,4.199395656585693
250,63.89,166.77842724323273,3.826498031616211
251,63.82,163.9044851064682,3.7833800315856934
252,63.85,171.1718663573265,3.847292184829712
253,63.74,170.62197828292847,4.0035400390625
254,63.93,171.31312495470047,4.0624260902404785
255,62.9,174.46935081481934,4.443309307098389
256,62.91,173.88707649707794,5.002139568328857
257,63.04,172.0307766199112,4.352992534637451
258,64.65,166.2863888144493,4.15225887298584
259,63.33,173.9586580991745,3.6618611812591553
260,63.24,173.69198668003082,4.2351603507995605
261,63.86,170.23760563135147,4.177125930786133
262,63.24,173.49556761980057,3.9233012199401855
263,62.58,174.69913387298584,4.5198845863342285
264,63.94,170.85910028219223,4.616726875305176
265,63.3,170.28526830673218,4.201317310333252
